activityid,age,gender,autosuf,numhouseholdpersons,income,oduden,oempden,ototint,dempden,sovdrivetime,hovdrivetime,tolldrivetime,tollcostsov,tollcosthov2,tollcosthov3,walkttime,walktotransitutility,drivetotransitutility,parkingcost,parkingwalktime,sovcost,hovcost,tollcost,tourpurpose,tourmode,firststop,laststop,zerototalstops,targettripmode
17115315,7,True,1,2,5,5.55889987945557,10.9191122055054,12.0,10.9191122055054,0.34219988769324,0.34219988769324,0.34219988769324,0.0,0.0,0.0,0.640537648881292,-999.0,-999.0,943.0,0.0,2.78633871154719,2.78633871154719,2.78633871154719,7,7,False,False,False,7
3388071,7,True,2,2,3,9.62049961090088,29.177713394165,9.0,24.8662605285645,20.7443622334112,20.7443622334112,20.7443622334112,0.0,0.0,0.0,74.9376237812725,-999.0,-999.0,0.0,0.0,325.978656301927,325.978656301927,325.978656301927,0,1,False,False,False,1
6603339,6,False,2,1,1,9.5305004119873,29.5995845794678,9.0,31.7505321502686,14.2434099385504,14.2434099385504,14.2434099385504,0.0,0.0,0.0,39.6306834334091,-999.0,-999.0,0.0,0.0,172.393469155853,172.393469155853,172.393469155853,0,1,True,False,False,1
7257974,4,False,2,1,4,7.33430004119873,10.156174659729,1.0,47.0494842529297,10.4024321404363,10.4024321404363,10.4024321404363,0.0,0.0,0.0,32.3405457147737,-999.0,-999.0,0.0,0.0,140.681370775031,140.681370775031,140.681370775031,0,1,True,False,False,1
4885822,6,False,1,5,3,0.400400012731552,13.6539630889893,1.0,14.3331203460693,12.5643701831546,12.5643701831546,12.5643701831546,0.0,0.0,0.0,44.430034129413,-999.0,-999.0,0.0,0.0,193.270644225768,193.270644225768,193.270644225768,0,3,True,False,False,3
4718988,6,True,1,2,1,0.0753000006079674,3.64032316207886,2.0,41.3879661560059,15.5295570978305,15.5295570978305,15.5295570978305,0.0,0.0,0.0,45.0567772578761,-999.0,-999.0,0.0,0.0,195.996976774812,195.996976774812,195.996976774812,0,1,False,False,False,1
3195469,6,False,2,4,4,13.1895999908447,52.9724464416504,13.0,137.408111572266,28.285021325964,28.285021325964,28.285021325964,0.0,0.0,0.0,101.153202930551,-999.0,-999.0,0.0,0.0,440.016423101177,440.016423101177,440.016423101177,0,1,False,False,False,1
9135843,4,False,2,5,1,10.5943002700806,44.3775901794434,12.0,10.4683666229248,20.991325165467,20.991325165467,20.991325165467,0.0,0.0,0.0,75.6784530252497,-999.0,-999.0,0.0,0.0,329.201263442577,329.201263442577,329.201263442577,0,1,False,False,True,1
12053002,4,False,1,2,2,3.06590008735657,22.1158199310303,11.0,60.5470314025879,5.49310777984108,5.49310777984108,5.49310777984108,0.0,0.0,0.0,14.8904153026567,-999.0,-999.0,0.0,0.0,64.7733051464961,64.7733051464961,64.7733051464961,0,1,True,False,False,1
8305906,6,False,1,6,1,14.316499710083,17.8244171142578,3.0,3.32429909706116,26.5292500625189,26.5292500625189,26.5292500625189,0.0,0.0,0.0,74.560434502146,-999.0,-999.0,0.0,0.0,324.337882973698,324.337882973698,324.337882973698,0,3,False,False,False,1
4239927,6,False,2,1,2,10.9336996078491,20.5351390838623,4.0,31.7612400054932,5.12106887186938,5.12106887186938,5.12106887186938,0.0,0.0,0.0,11.6966075304544,-999.0,-999.0,0.0,0.0,50.8802416420013,50.8802416420013,50.8802416420013,0,1,True,False,False,1
4056084,3,True,2,3,4,12.6005001068115,33.9418296813965,4.0,57.8439674377441,4.05049654628592,4.05049654628592,4.05049654628592,0.0,0.0,0.0,9.90679345608583,-999.0,-999.0,0.0,0.0,43.0945505891879,43.0945505891879,43.0945505891879,4,3,False,False,True,3
3501600,7,False,1,2,3,14.0708999633789,42.8111419677734,13.0,111.61939239502,14.1626065495077,14.1626065495077,14.1626065495077,0.0,0.0,0.0,30.8391000191451,-999.0,-999.0,0.0,0.0,134.150082142236,134.150082142236,134.150082142236,0,1,True,False,False,1
11232152,4,False,1,2,5,1.26110005378723,25.7652130126953,24.0,60.170108795166,25.9974400727196,25.9974400727196,25.9974400727196,0.0,0.0,0.0,93.3455900297788,-999.0,-999.0,0.0,0.0,406.053307727409,406.053307727409,406.053307727409,0,3,False,False,False,1
6099036,6,False,1,2,1,12.7461996078491,21.8205604553223,3.0,181.790298461914,25.8386650012703,25.8386650012703,25.8386650012703,0.0,0.0,0.0,66.8139300886367,-999.0,-999.0,0.0,0.0,290.640589513697,290.640589513697,290.640589513697,0,1,True,False,False,1
2014171,7,True,2,2,3,8.56700038909912,21.9784450531006,6.0,28.136323928833,12.1954153342241,12.1954153342241,12.1954153342241,0.0,0.0,0.0,39.0636703575172,-999.0,-999.0,0.0,0.0,169.926962329798,169.926962329798,169.926962329798,0,1,False,False,False,1
2060090,4,False,1,3,3,9.76229953765869,25.1807670593262,6.0,9.42788410186768,19.4108279077192,19.4108279077192,19.4108279077192,0.0,0.0,0.0,57.026853209125,-999.0,-999.0,0.0,0.0,248.066806021189,248.066806021189,248.066806021189,0,3,False,False,False,1
11722497,7,False,2,6,2,5.46500015258789,46.1369552612305,1.0,28.9173336029053,8.09073522783912,8.09073522783912,8.09073522783912,0.0,0.0,0.0,26.2212612222369,-999.0,-999.0,0.0,0.0,114.062483816076,114.062483816076,114.062483816076,0,1,False,False,True,1
13518645,7,False,2,1,1,5.83900022506714,26.5579624176025,1.0,29.3410053253174,3.05071223408617,3.05071223408617,3.05071223408617,0.0,0.0,0.0,9.47713552142584,-999.0,-999.0,0.0,0.0,41.2255386143923,41.2255386143923,41.2255386143923,0,1,False,False,True,1
1334622,7,False,2,2,5,3.73659992218018,153.070877075195,22.0,19.469388961792,14.8029265847613,14.8029265847613,14.8029265847613,0.0,0.0,0.0,49.4631438458991,-999.0,-999.0,0.0,0.0,215.164671012488,215.164671012488,215.164671012488,0,1,True,False,False,1
9835150,6,False,1,4,3,2.72690010070801,18.2133865356445,1.0,9.26519966125488,38.5394737181986,38.5299453677938,38.5394737181986,0.0,0.0,0.0,151.746259856976,-999.0,-999.0,0.0,0.0,660.096215906195,660.239240253977,660.096215906195,0,5,False,False,False,1
12174855,4,False,2,2,2,18.7681999206543,20.7312068939209,13.0,14.273533821106,12.0697319259699,12.0697319259699,12.0697319259699,0.0,0.0,0.0,40.8803234128886,-999.0,-999.0,0.0,0.0,177.829402947414,177.829402947414,177.829402947414,0,1,True,False,False,1
11390466,4,False,1,4,2,19.0438995361328,8.24107933044434,13.0,12.4860887527466,8.74435996674783,8.74435996674783,8.74435996674783,0.0,0.0,0.0,24.9811908826806,-999.0,-999.0,0.0,0.0,108.668177957269,108.668177957269,108.668177957269,0,3,False,False,True,3
16666860,7,True,1,2,5,10.9865999221802,43.1637916564941,12.0,60.7660217285156,18.2072230614305,18.2072230614305,15.0547981060803,160.261337280273,160.261337280273,160.261337280273,58.7674223865137,-999.0,-999.0,0.0,0.0,255.638281776836,255.638281776836,196.716865070904,7,1,False,False,True,1
